"Test Name","Year","Session","Subject","Number","Question","Question_image","Option 1","Option 2","Option 3","Option 4","Answer"
"국가7급","2015","3","안전관리론","1","안전관리 조직 중 라인식 조직에 대한 설명으로 옳지 않은 것은?","","소규모 사업장에 적합하다.","명령과 보고가 간단명료하다.","전문 스태프(Staff)의 지도에 의해 안전활동이 진행된다.","조직에 안전을 전문으로 하는 부문이 없으므로 고도의 관리를 기대할 수는 없다.","3"
"국가7급","2015","3","안전관리론","2","화학 플랜트의 설계 시 기본 설계도면을 이용하여 위험요소를 파악하고, 가동 중인 설비에 대해서는 공정변수가 정상상태로부터 이탈할 경우 발생할 수 있는 위험성을 정성적으로 평가하는 방법은?","","FTA(Fault Tree Analysis)","ETA(Event Tree Analysis)","HAZOP(Hazard and Operability Study)","THERP(Technique of Human Error Rate Prediction)","3"
"국가7급","2015","3","안전관리론","3","소방시설 설치․유지 및 안전관리에 관한 법률 시행령 상 소방시설 중 소화설비에 해당하지 않는 것은?","","자동소화장치","옥외소화전설비","스프링클러설비","상수도소화용수설비","4"
"국가7급","2015","3","안전관리론","4","산업안전심리와 관련하여 부주의에 대한 사고방지대책 중 정신적인 대책으로 옳지 않은 것은?","","표준작업제도의 도입","작업의욕 고취","스트레스의 해소","안전의식의 제고","1"
"국가7급","2015","3","안전관리론","5","자연발화에 대한 설명으로 옳지 않은 것은?","","외부로부터의 발화원 없이 물질이 상온의 공기 중에서 스스로 발열하여 그 열이 축적되면서 연소를 일으키는 현상이다.","원인이 되는 열원으로 분해열, 산화열, 흡착열, 발효열 등이 있다.","물질의 열발생 속도와 열방출 속도 간에 평형이 깨져 발생하고, 열방출을 방해하는 인자는 자연발화를 촉진시킨다.","다공질, 분말상 또는 섬유상의 물질은 공기와 접촉하는 면적이 크므로 열의 축적이 어려워 자연발화가 용이하지 않다.","4"
"국가7급","2015","3","안전관리론","6","고압가스 안전관리법 시행규칙 상 가연성가스를 다음과 같이 정의할 때, ㉠, ㉡에 들어갈 숫자로 옳은 것은?\n\n'가연성가스'란 아크릴로니트릴․아크릴알데히드․아세트알데히드․아세틸렌․암모니아․수소․황화수소․시안화수소․일산화탄소․이황화탄소․메탄․염화메탄․브롬화메탄․에탄․염화에탄․염화비닐․에틸렌․산화에틸렌․프로판․시클로프로판․프로필렌․산화프로필렌․부탄․부타디엔․부틸렌․메틸에테르․모노메틸아민․디메틸아민․트리메틸아민․에틸아민․벤젠․에틸벤젠 및 그 밖에 공기중에서 연소하는 가스로서 폭발한계의 하한이 ( ㉠ ) % 이하인 것과 폭발한계의 상한과 하한의 차가 ( ㉡ ) % 이상인 것을 말한다.","","10, 20","10, 30","15, 20","15, 30","1"
"국가7급","2015","3","안전관리론","7","기체상의 염소, 포스핀, 불화수소, 염화수소가 같은 조건에서 공기 중으로 누출이 되었을 때, 기체 분자운동의 모형으로 토마스 그레이엄의 법칙(Thomas Graham's law)을 적용하면 이들 기체 중 확산속도가 가장 빠른 것은? (단, 공기 중 화학반응은 무시한다)","","염소","포스핀","불화수소","염화수소","3"
"국가7급","2015","3","안전관리론","8","화학물질관리법 시행규칙 상 유해화학물질의 취급기준으로 옳지 않은 것은?","","고체 유해화학물질을 용기에 담아 이동할 때에는 용기 높이의 90 % 이상을 담지 않도록 하여야 한다.","부식성 유해화학물질을 취급하는 장소에서 가까운 거리 내에 비상시를 대비하여 샤워시설 또는 세안시설을 갖추어야 한다.","버스, 철도, 지하철 등 대중교통수단을 이용하여 유해화학물질을 운반할 경우에는 흔들리거나 넘어지지 않도록 고정하여야 한다.","종류가 다른 화학물질을 같은 보관시설 안에 보관하는 경우에는 화학물질간의 반응성을 고려하여 칸막이나 바닥의 구획선 등으로 구분하여 상호간에 필요한 간격을 두어야 한다.","3"
"국가7급","2015","3","안전관리론","9","도로교통법 상 자전거 통행방법의 특례에 대한 설명으로 옳지 않은 것은?","","자전거 운전자는 안전표지로 자전거의 통행을 금지한 구간을 제외한 길가장자리구역을 통행할 수 있다.","자전거 운전자는 안전표지로 통행이 허용된 경우를 제외하고는 2대 이상이 나란히 차도를 통행하여서는 안 된다.","자전거 운전자가 횡단보도를 이용하여 도로를 횡단할 때에는 자전거에서 내려서 자전거를 끌고 보행하여야 한다.","자전거도로가 따로 있는 곳에서는 모든 자전거 운전자가 자전거도로로만 통행하여야 하고, 보도로 통행하여서는 안 된다.","4"
"국가7급","2015","3","안전관리론","10","다음과 같은 사고 발생 시 일어나는 화학반응을 식으로 나타낼 때, ㉠, ㉡에 들어갈 내용으로 옳은 것은?\n\n○○회사 인쇄회로기판(PCB 기판) 제조공장에서 위험물 공급업체 직원이 염산 700 kg이 들어있는 염산탱크 주입구를 염소산나트륨 주입구로 오인하고 염산탱크에 염소산나트륨을 40 ～ 50 kg만큼 주입하였다. 이로 인해 염산과 염소산나트륨이 반응하여 독성가스가 발생하였고, 인근 지역으로 확산되어 72명이 중독되었다.\n\n( ㉠ ) ＋ 4HCl → 2ClO$_2$ ＋ Cl$_2$ ＋ ( ㉡ ) ＋ 2H$_2$O","","NaClO$_3$, NaCl","2NaClO$_3$, 2NaCl","NaClO$_4$, NaCl","6NaClO$_4$, 6NaCl","2"
